2018-03-18 13:39:01:INFO: SecondCandleClose:'1230849', BBUp:'1230938', BBLow:'1230689', RSI: '64', ARUp:'100', ARDown:'7'
2018-03-18 13:40:01:INFO: SecondCandleClose:'1230908', BBUp:'1230942', BBLow:'1230697', RSI: '57', ARUp:'92', ARDown:'7'
2018-03-18 21:49:40:INFO: Create connection.
2018-03-18 21:49:46:INFO: Successfully connected.
2018-03-18 21:49:46:INFO: Create signalers.
2018-03-18 21:49:46:INFO: Create traders.
2018-03-18 21:50:02:INFO: SecondCandleClose:'1230262', BBUp:'1230358', BBLow:'1230096', RSI: '55', ARUp:'42', ARDown:'7'
2018-03-18 21:51:02:INFO: SecondCandleClose:'1230178', BBUp:'1230358', BBLow:'1230096', RSI: '55', ARUp:'42', ARDown:'7'
2018-03-18 21:52:02:INFO: SecondCandleClose:'1230245', BBUp:'1230350', BBLow:'1230111', RSI: '52', ARUp:'35', ARDown:'7'
2018-03-18 21:53:02:INFO: SecondCandleClose:'1230144', BBUp:'1230350', BBLow:'1230111', RSI: '49', ARUp:'28', ARDown:'7'
2018-03-18 21:54:02:INFO: SecondCandleClose:'1230137', BBUp:'1230355', BBLow:'1230094', RSI: '44', ARUp:'21', ARDown:'42'
2018-03-18 21:55:02:INFO: SecondCandleClose:'1230146', BBUp:'1230320', BBLow:'1230096', RSI: '35', ARUp:'14', ARDown:'100'
2018-03-18 21:56:02:INFO: SecondCandleClose:'1230172', BBUp:'1230320', BBLow:'1230085', RSI: '44', ARUp:'7', ARDown:'92'
2018-03-18 21:57:02:INFO: SecondCandleClose:'1230106', BBUp:'1230321', BBLow:'1230083', RSI: '49', ARUp:'35', ARDown:'85'
2018-03-18 21:58:01:INFO: SecondCandleClose:'1230172', BBUp:'1230328', BBLow:'1230064', RSI: '44', ARUp:'28', ARDown:'100'
2018-03-18 21:59:02:INFO: SecondCandleClose:'1230217', BBUp:'1230328', BBLow:'1230067', RSI: '51', ARUp:'21', ARDown:'92'
2018-03-18 22:00:01:INFO: SecondCandleClose:'1230275', BBUp:'1230312', BBLow:'1230073', RSI: '44', ARUp:'14', ARDown:'85'
2018-03-18 22:01:01:INFO: SecondCandleClose:'1230156', BBUp:'1230307', BBLow:'1230076', RSI: '49', ARUp:'100', ARDown:'78'
2018-03-18 22:02:03:INFO: SecondCandleClose:'1230202', BBUp:'1230298', BBLow:'1230072', RSI: '47', ARUp:'85', ARDown:'64'
2018-03-18 22:03:02:INFO: SecondCandleClose:'1230099', BBUp:'1230298', BBLow:'1230072', RSI: '47', ARUp:'85', ARDown:'64'
